What should I do?,ask_advice,What are the symptoms of the flu?,ask_disease_info
Can you give me some advice?,ask_advice,,
What do you suggest?,ask_advice,,
Any recommendations?,ask_advice,,
I need some advice.,ask_advice,,
What's your advice?,ask_advice,,
Could you advise me on something?,ask_advice,,
Do you have any advice for me?,ask_advice,,
I'm seeking advice.,ask_advice,,
What would you advise?,ask_advice,,
Can you provide guidance?,ask_advice,,
I'm looking for some guidance.,ask_advice,,
Could you offer some counsel?,ask_advice,,
What's the best course of action?,ask_advice,,
I need some direction.,ask_advice,,
What would you recommend?,ask_advice,,
I'm open to suggestions.,ask_advice,,
What's your opinion?,ask_advice,,
What should I do next?,ask_advice,,
What's the best way to proceed?,ask_advice,,
Could you offer some advice on this matter?,ask_advice,,
What do you think I should do?,ask_advice,,
I could use some advice right now.,ask_advice,,
Can you offer me some tips?,ask_advice,,
I'm in need of some guidance.,ask_advice,,
What's your advice on this?,ask_advice,,
Do you have any suggestions for me?,ask_advice,,
What would you do in my situation?,ask_advice,,
Can you give me some pointers?,ask_advice,,
What would be your recommendation?,ask_advice,,
What steps should I take?,ask_advice,,
What's the best way to handle this?,ask_advice,,
Can you provide any insight?,ask_advice,,
What's your take on this?,ask_advice,,
I need some help figuring this out.,ask_advice,,
What's your perspective?,ask_advice,,
Do you have any words of wisdom?,ask_advice,,
What's your advice on handling this?,ask_advice,,
Could you give me some guidance on this?,ask_advice,,
What do you advise in this situation?,ask_advice,,
How should I approach this?,ask_advice,,
I could use your advice.,ask_advice,,
What do you think is the best solution?,ask_advice,,
What would be the best course of action?,ask_advice,,
Can you provide some assistance?,ask_advice,,
I need some input.,ask_advice,,
Do you have any ideas?,ask_advice,,
What's your suggestion?,ask_advice,,
What's your recommendation for me?,ask_advice,,
Can you offer some advice on this issue?,ask_advice,,
What would you recommend I do?,ask_advice,,
Can you offer any advice?,ask_advice,,
I'm looking for some advice.,ask_advice,,
What would be the best decision?,ask_advice,,
What's your opinion on this matter?,ask_advice,,
I need your advice.,ask_advice,,
What should my next move be?,ask_advice,,
I'm seeking your counsel.,ask_advice,,
Can you provide any suggestions?,ask_advice,,
I'm not sure what to do.,ask_advice,,
What's your take?,ask_advice,,
What would you do?,ask_advice,,
Can you give me some recommendations?,ask_advice,,
What's your view?,ask_advice,,
What do you think?,ask_advice,,
I need some advice from you.,ask_advice,,
What should I consider?,ask_advice,,
What's your perspective on this?,ask_advice,,
Do you have any thoughts?,ask_advice,,
What's your opinion on how to proceed?,ask_advice,,
I'm looking for your advice.,ask_advice,,
Can you provide some guidance on this?,ask_advice,,
What should I take into account?,ask_advice,,
Do you have any advice to offer?,ask_advice,,
I'm in need of some suggestions.,ask_advice,,
What's your recommendation?,ask_advice,,
What's your advice on this matter?,ask_advice,,
I need some recommendations.,ask_advice,,
What's the best approach?,ask_advice,,
I need your opinion.,ask_advice,,
What would you suggest I do next?,ask_advice,,
Can you offer any guidance?,ask_advice,,
I'm looking for your input.,ask_advice,,
What do you recommend?,ask_advice,,
What do you suggest I do?,ask_advice,,
What do you propose?,ask_advice,,
Can you provide some pointers?,ask_advice,,
I'm looking for your suggestion.,ask_advice,,
What's your take on it?,ask_advice,,
What's your advice on handling this situation?,ask_advice,,
Do you have any recommendations for me?,ask_advice,,
I need some guidance from you.,ask_advice,,
What do you think would be best?,ask_advice,,
I'm seeking your advice.,ask_advice,,
,,Can you tell me about diabetes?,ask_disease_info
,,What is hypertension?,ask_disease_info
,,How is COVID-19 transmitted?,ask_disease_info
,,What are the causes of asthma?,ask_disease_info
,,Tell me about the treatment for cancer.,ask_disease_info
,,What are the risk factors for heart disease?,ask_disease_info
,,How can I prevent a stroke?,ask_disease_info
,,What is the difference between a cold and the flu?,ask_disease_info
,,What are the signs of a heart attack?,ask_disease_info
,,How is pneumonia diagnosed?,ask_disease_info
,,What are the common treatments for arthritis?,ask_disease_info
,,Tell me about the symptoms of tuberculosis.,ask_disease_info
,,What causes migraines?,ask_disease_info
,,How is Alzheimer's disease treated?,ask_disease_info
,,What are the early signs of Parkinson's disease?,ask_disease_info
,,Can you explain what hepatitis is?,ask_disease_info
,,What are the complications of diabetes?,ask_disease_info
,,How can I manage my cholesterol levels?,ask_disease_info
,,What is the prognosis for lung cancer?,ask_disease_info
,,How is depression diagnosed?,ask_disease_info
,,What are the treatment options for epilepsy?,ask_disease_info
,,Can you give me information on osteoporosis?,ask_disease_info
,,What are the symptoms of a kidney infection?,ask_disease_info
,,How is Lyme disease transmitted?,ask_disease_info
,,What are the stages of liver disease?,ask_disease_info
,,Tell me about the prevention of skin cancer.,ask_disease_info
,,What are the side effects of chemotherapy?,ask_disease_info
,,How can I reduce my risk of colorectal cancer?,ask_disease_info
,,What are the causes of chronic bronchitis?,ask_disease_info
,,How is multiple sclerosis diagnosed?,ask_disease_info
,,What are the symptoms of anemia?,ask_disease_info
,,Can you explain what a stroke is?,ask_disease_info
,,What are the risk factors for breast cancer?,ask_disease_info
,,How is HIV transmitted?,ask_disease_info
,,What are the early signs of liver disease?,ask_disease_info
,,What treatments are available for bipolar disorder?,ask_disease_info
,,Tell me about the causes of rheumatoid arthritis.,ask_disease_info
,,What are the symptoms of pancreatic cancer?,ask_disease_info
,,How is leukemia treated?,ask_disease_info
,,What are the risk factors for prostate cancer?,ask_disease_info
,,How can I prevent osteoporosis?,ask_disease_info
,,What are the signs of meningitis?,ask_disease_info
,,How is schizophrenia diagnosed?,ask_disease_info
,,What are the common treatments for COPD?,ask_disease_info
,,Tell me about the symptoms of gallbladder disease.,ask_disease_info
,,What causes endometriosis?,ask_disease_info
,,How is bipolar disorder managed?,ask_disease_info
,,What are the early signs of glaucoma?,ask_disease_info
,,Can you explain what lymphoma is?,ask_disease_info
,,What are the complications of hypertension?,ask_disease_info
,,How can I reduce my risk of lung cancer?,ask_disease_info
,,What are the causes of ulcers?,ask_disease_info
,,How is thyroid disease diagnosed?,ask_disease_info
,,What are the symptoms of dengue fever?,ask_disease_info
,,Tell me about the treatment for chronic fatigue syndrome.,ask_disease_info
,,What are the risk factors for melanoma?,ask_disease_info
,,How is irritable bowel syndrome managed?,ask_disease_info
,,What are the signs of a brain tumor?,ask_disease_info
,,What causes gallstones?,ask_disease_info
,,How is Crohn's disease treated?,ask_disease_info
,,What are the early signs of cervical cancer?,ask_disease_info
,,Can you give me information on lupus?,ask_disease_info
,,What are the complications of sleep apnea?,ask_disease_info
,,How can I manage my asthma?,ask_disease_info
,,What is the prognosis for stomach cancer?,ask_disease_info
,,How is ADHD diagnosed?,ask_disease_info
,,What are the treatment options for psoriasis?,ask_disease_info
,,Tell me about the symptoms of Ebola.,ask_disease_info
,,What causes chronic kidney disease?,ask_disease_info
,,How is dengue fever transmitted?,ask_disease_info
,,What are the stages of Alzheimer's disease?,ask_disease_info
,,What are the side effects of radiation therapy?,ask_disease_info
,,How can I reduce my risk of heart disease?,ask_disease_info
,,What are the causes of GERD?,ask_disease_info
,,How is lupus diagnosed?,ask_disease_info
,,What are the symptoms of a UTI?,ask_disease_info
,,Can you explain what cystic fibrosis is?,ask_disease_info
,,What are the risk factors for stroke?,ask_disease_info
,,How is Parkinson's disease managed?,ask_disease_info
,,What are the early signs of HIV?,ask_disease_info
